state,year,quarter,district,registered_users,app_opens
Andhra Pradesh,2018,4,Srikakulam District,284874,0
Andhra Pradesh,2018,4,Visakhapatnam District,978288,0
Andhra Pradesh,2018,4,Prakasam District,394962,0
Andhra Pradesh,2018,4,Anantapur District,510892,0
Andhra Pradesh,2018,4,Kurnool District,498582,0
Andhra Pradesh,2018,4,Guntur District,659552,0
Andhra Pradesh,2018,4,Krishna District,682479,0
Andhra Pradesh,2018,4,Spsr Nellore District,407495,0
Andhra Pradesh,2018,4,Vizianagaram District,257824,0
Andhra Pradesh,2018,4,Ysr District,387058,0
Andhra Pradesh,2018,4,West Godavari District,435668,0
Andhra Pradesh,2018,4,Chittoor District,665280,0
Andhra Pradesh,2019,1,East Godavari District,839277,0
Andhra Pradesh,2019,1,Srikakulam District,345775,0
Andhra Pradesh,2019,1,Visakhapatnam District,1174517,0
Andhra Pradesh,2019,1,Prakasam District,474260,0
Andhra Pradesh,2019,1,Anantapur District,612162,0
Andhra Pradesh,2019,1,Kurnool District,599422,0
Andhra Pradesh,2019,1,Guntur District,802394,0
Andhra Pradesh,2019,1,Krishna District,833694,0
Andhra Pradesh,2019,1,Spsr Nellore District,491908,0
Andhra Pradesh,2019,1,Vizianagaram District,313334,0
Andhra Pradesh,2019,1,Ysr District,460590,0
Andhra Pradesh,2019,1,West Godavari District,523372,0
Andhra Pradesh,2019,1,Chittoor District,812314,0
Andhra Pradesh,2019,2,East Godavari District,945181,7156762
Andhra Pradesh,2019,2,Srikakulam District,392764,3230330
Andhra Pradesh,2019,2,Visakhapatnam District,1318740,13681907
Andhra Pradesh,2019,2,Prakasam District,539462,4488365
Andhra Pradesh,2019,2,Anantapur District,695114,6056591
Andhra Pradesh,2019,2,Kurnool District,680118,6240480
Andhra Pradesh,2019,2,Guntur District,915256,7268875
Andhra Pradesh,2019,2,Krishna District,952300,7822632
Andhra Pradesh,2019,2,Spsr Nellore District,558303,4774473
Andhra Pradesh,2019,2,Vizianagaram District,355058,3541678
Andhra Pradesh,2019,2,Ysr District,519031,4345848
Andhra Pradesh,2019,2,West Godavari District,592185,3853094
Andhra Pradesh,2019,2,Chittoor District,925491,8914216
Andhra Pradesh,2019,3,East Godavari District,1057167,28275322
Andhra Pradesh,2019,3,Srikakulam District,437939,11813195
Andhra Pradesh,2019,3,Visakhapatnam District,1460464,54836001
Andhra Pradesh,2019,3,Prakasam District,598568,16267041
Andhra Pradesh,2019,3,Anantapur District,773656,22845084
Andhra Pradesh,2019,3,Kurnool District,755024,22827473
Andhra Pradesh,2019,3,Guntur District,1026418,28477132
Andhra Pradesh,2019,3,Krishna District,1066546,30077671
Andhra Pradesh,2019,3,Spsr Nellore District,619592,17768733
Andhra Pradesh,2019,3,Vizianagaram District,394375,13065845
Andhra Pradesh,2019,3,Ysr District,574109,15833900
Andhra Pradesh,2019,3,West Godavari District,662102,14227407
Andhra Pradesh,2019,3,Chittoor District,1032733,34638738
Andhra Pradesh,2019,4,East Godavari District,1195228,38299189
Andhra Pradesh,2019,4,Srikakulam District,496266,16353822
Andhra Pradesh,2019,4,Visakhapatnam District,1620235,70749983
Andhra Pradesh,2019,4,Prakasam District,673522,21639748
Andhra Pradesh,2019,4,Anantapur District,873033,30278539
Andhra Pradesh,2019,4,Kurnool District,846885,29676997
Andhra Pradesh,2019,4,Guntur District,1158708,37846179
Andhra Pradesh,2019,4,Krishna District,1199971,39407473
Andhra Pradesh,2019,4,Spsr Nellore District,697154,23608360
Andhra Pradesh,2019,4,Vizianagaram District,443810,17515311
Andhra Pradesh,2019,4,Ysr District,646642,21543798
Andhra Pradesh,2019,4,West Godavari District,750078,19393528
Andhra Pradesh,2019,4,Chittoor District,1156351,44888591
Andhra Pradesh,2020,1,East Godavari District,1329664,46142746
Andhra Pradesh,2020,1,Srikakulam District,552007,20975989
Andhra Pradesh,2020,1,Visakhapatnam District,1763581,77558624
Andhra Pradesh,2020,1,Prakasam District,748655,26870693
Andhra Pradesh,2020,1,Anantapur District,971850,36900103
Andhra Pradesh,2020,1,Kurnool District,936293,34198350
Andhra Pradesh,2020,1,Guntur District,1289678,45282758
Andhra Pradesh,2020,1,Krishna District,1331602,46079408
Andhra Pradesh,2020,1,Spsr Nellore District,775440,28879364
Andhra Pradesh,2020,1,Vizianagaram District,490683,21562104
Andhra Pradesh,2020,1,Ysr District,717865,26166193
Andhra Pradesh,2020,1,West Godavari District,843835,24542868
Andhra Pradesh,2020,1,Chittoor District,1270907,51354573
Andhra Pradesh,2020,2,East Godavari District,1459116,45884498
Andhra Pradesh,2020,2,Srikakulam District,608002,23808009
Andhra Pradesh,2020,2,Visakhapatnam District,1904719,69684456
Andhra Pradesh,2020,2,Prakasam District,830709,32255276
Andhra Pradesh,2020,2,Anantapur District,1076953,39704703
Andhra Pradesh,2020,2,Kurnool District,1035093,36268390
Andhra Pradesh,2020,2,Guntur District,1426271,44267596
Andhra Pradesh,2020,2,Krishna District,1459041,41234166
Andhra Pradesh,2020,2,Spsr Nellore District,854459,30816403
Andhra Pradesh,2020,2,Vizianagaram District,537798,24370380
Andhra Pradesh,2020,2,Ysr District,796769,29644037
Andhra Pradesh,2020,2,West Godavari District,944829,26583613
Andhra Pradesh,2020,2,Chittoor District,1385916,49820171
Andhra Pradesh,2020,3,East Godavari District,1601940,64292857
Andhra Pradesh,2020,3,Srikakulam District,667858,31794753
Andhra Pradesh,2020,3,Visakhapatnam District,2058346,102589371
Andhra Pradesh,2020,3,Prakasam District,915240,44970519
Andhra Pradesh,2020,3,Anantapur District,1186851,55714787
Andhra Pradesh,2020,3,Kurnool District,1132240,49164718
Andhra Pradesh,2020,3,Guntur District,1567595,62427501
Andhra Pradesh,2020,3,Krishna District,1599289,61028114
Andhra Pradesh,2020,3,Spsr Nellore District,937176,43951448
Andhra Pradesh,2020,3,Vizianagaram District,587784,31199437
Andhra Pradesh,2020,3,Ysr District,877909,41578067
Andhra Pradesh,2020,3,West Godavari District,1053674,38126238
Andhra Pradesh,2020,3,Chittoor District,1506503,69462572
Andhra Pradesh,2020,4,East Godavari District,1746280,82605352
Andhra Pradesh,2020,4,Srikakulam District,726761,36770992
Andhra Pradesh,2020,4,Visakhapatnam District,2209658,124730170
Andhra Pradesh,2020,4,Prakasam District,999462,52839846
Andhra Pradesh,2020,4,Anantapur District,1295872,69562398
Andhra Pradesh,2020,4,Kurnool District,1230466,60615045
Andhra Pradesh,2020,4,Guntur District,1712940,81291172
Andhra Pradesh,2020,4,Krishna District,1744028,81787771
Andhra Pradesh,2020,4,Spsr Nellore District,1022944,54765443
Andhra Pradesh,2020,4,Vizianagaram District,634462,35110885
Andhra Pradesh,2020,4,Ysr District,959182,49596303
Andhra Pradesh,2020,4,West Godavari District,1163179,51170162
Andhra Pradesh,2020,4,Chittoor District,1631331,88232999
Andhra Pradesh,2021,1,East Godavari District,1878769,91478749
Andhra Pradesh,2021,1,Srikakulam District,782604,40590058
Andhra Pradesh,2021,1,Visakhapatnam District,2368081,135908324
Andhra Pradesh,2021,1,Prakasam District,1075936,56911479
Andhra Pradesh,2021,1,Anantapur District,1394849,73375049
Andhra Pradesh,2021,1,Kurnool District,1323411,65326230
Andhra Pradesh,2021,1,Guntur District,1843237,92731167
Andhra Pradesh,2021,1,Krishna District,1876458,92941553
Andhra Pradesh,2021,1,Spsr Nellore District,1100541,60691988
Andhra Pradesh,2021,1,Vizianagaram District,681621,37752539
Andhra Pradesh,2021,1,Ysr District,1032689,53525815
Andhra Pradesh,2021,1,West Godavari District,1254117,57392671
Andhra Pradesh,2021,1,Chittoor District,1751420,99083825
Andhra Pradesh,2021,2,East Godavari District,2006272,84705076
Andhra Pradesh,2021,2,Srikakulam District,837958,43740255
Andhra Pradesh,2021,2,Visakhapatnam District,2526830,114313154
Andhra Pradesh,2021,2,Prakasam District,1151232,76850749
Andhra Pradesh,2021,2,Anantapur District,1492738,104568606
Andhra Pradesh,2021,2,Kurnool District,1415585,81894678
Andhra Pradesh,2021,2,Guntur District,1968681,88248064
Andhra Pradesh,2021,2,Krishna District,2002662,85771678
Andhra Pradesh,2021,2,Spsr Nellore District,1176334,74049216
Andhra Pradesh,2021,2,Vizianagaram District,729509,42684475
Andhra Pradesh,2021,2,Ysr District,1103004,72255265
Andhra Pradesh,2021,2,West Godavari District,1339377,65118788
Andhra Pradesh,2021,2,Chittoor District,1870723,110505432
Andhra Pradesh,2021,3,East Godavari District,2150622,103626560
Andhra Pradesh,2021,3,Srikakulam District,902008,48622126
Andhra Pradesh,2021,3,Visakhapatnam District,2707931,139540800
Andhra Pradesh,2021,3,Prakasam District,1239147,91533813
Andhra Pradesh,2021,3,Anantapur District,1606735,124985545
Andhra Pradesh,2021,3,Kurnool District,1522196,101210508
Andhra Pradesh,2021,3,Guntur District,2110878,106621413
Andhra Pradesh,2021,3,Krishna District,2145423,104358295
Andhra Pradesh,2021,3,Spsr Nellore District,1263550,90102349
Andhra Pradesh,2021,3,Vizianagaram District,784444,46277311
Andhra Pradesh,2021,3,Ysr District,1183377,86369956
Andhra Pradesh,2021,3,West Godavari District,1436576,80244808
Andhra Pradesh,2021,3,Chittoor District,2007011,135043395
Andhra Pradesh,2021,4,East Godavari District,2294347,142536856
Andhra Pradesh,2021,4,Srikakulam District,965335,61654215
Andhra Pradesh,2021,4,Visakhapatnam District,2888774,188757640
Andhra Pradesh,2021,4,Prakasam District,1325728,86410317
Andhra Pradesh,2021,4,Anantapur District,1719437,120768682
Andhra Pradesh,2021,4,Kurnool District,1628242,97379271
Andhra Pradesh,2021,4,Guntur District,2252443,130920743
Andhra Pradesh,2021,4,Krishna District,2288148,134436469
Andhra Pradesh,2021,4,Spsr Nellore District,1349290,90814672
Andhra Pradesh,2021,4,Vizianagaram District,839606,56101822
Andhra Pradesh,2021,4,Ysr District,1262963,83534122
Andhra Pradesh,2021,4,West Godavari District,1532898,100007280
Andhra Pradesh,2021,4,Chittoor District,2141818,154395512
Andhra Pradesh,2022,1,East Godavari District,2432305,87134562
Andhra Pradesh,2022,1,Srikakulam District,1027283,46691467
Andhra Pradesh,2022,1,Visakhapatnam District,3061324,88803090
Andhra Pradesh,2022,1,Prakasam District,1408929,104851997
Andhra Pradesh,2022,1,Anantapur District,1827094,155792533
Andhra Pradesh,2022,1,Kurnool District,1729513,119653214
Andhra Pradesh,2022,1,Guntur District,2387051,88844052
Andhra Pradesh,2022,1,Krishna District,2423373,85871644
Andhra Pradesh,2022,1,Spsr Nellore District,1431664,101671767
Andhra Pradesh,2022,1,Vizianagaram District,892889,44804002
Andhra Pradesh,2022,1,Ysr District,1339782,98878499
Andhra Pradesh,2022,1,West Godavari District,1626039,87642475
Andhra Pradesh,2022,1,Chittoor District,2270705,144146671
Andhra Pradesh,2022,2,East Godavari District,2564165,93383888
Andhra Pradesh,2022,2,Srikakulam District,1086164,51087942
Andhra Pradesh,2022,2,Visakhapatnam District,3226029,93552701
Andhra Pradesh,2022,2,Prakasam District,1487589,108172758
Andhra Pradesh,2022,2,Anantapur District,1928213,181499094
Andhra Pradesh,2022,2,Kurnool District,1825280,136447455
Andhra Pradesh,2022,2,Guntur District,2514794,91997209
Andhra Pradesh,2022,2,Krishna District,2552107,95341487
Andhra Pradesh,2022,2,Spsr Nellore District,1509927,108755384
Andhra Pradesh,2022,2,Vizianagaram District,943242,50230853
Andhra Pradesh,2022,2,Ysr District,1412848,106157470
Andhra Pradesh,2022,2,West Godavari District,1714357,103338893
Andhra Pradesh,2022,2,Chittoor District,2392549,158771722
Andhra Pradesh,2022,3,East Godavari District,2702234,85780890
Andhra Pradesh,2022,3,Srikakulam District,1147016,46323107
Andhra Pradesh,2022,3,Visakhapatnam District,3397514,87888969
Andhra Pradesh,2022,3,Prakasam District,1567520,114185009
Andhra Pradesh,2022,3,Anantapur District,2030824,181038520
Andhra Pradesh,2022,3,Kurnool District,1924127,143715547
Andhra Pradesh,2022,3,Guntur District,2647100,91146114
Andhra Pradesh,2022,3,Krishna District,2685215,86220959
Andhra Pradesh,2022,3,Spsr Nellore District,1588875,105928407
Andhra Pradesh,2022,3,Vizianagaram District,995141,46767889
Andhra Pradesh,2022,3,Ysr District,1487140,107976611
Andhra Pradesh,2022,3,West Godavari District,1805967,97509407
Andhra Pradesh,2022,3,Chittoor District,2517657,162524274
Andhra Pradesh,2022,4,East Godavari District,2835087,173720880
Andhra Pradesh,2022,4,Srikakulam District,1204785,72666058
Andhra Pradesh,2022,4,Visakhapatnam District,3566854,208604256
Andhra Pradesh,2022,4,Prakasam District,1642503,94432083
Andhra Pradesh,2022,4,Anantapur District,2128066,136685634
Andhra Pradesh,2022,4,Kurnool District,2018290,105333688
Andhra Pradesh,2022,4,Guntur District,2774365,144773169
Andhra Pradesh,2022,4,Krishna District,2813645,156902257
Andhra Pradesh,2022,4,Spsr Nellore District,1663684,103101986
Andhra Pradesh,2022,4,Vizianagaram District,1044490,64406405
Andhra Pradesh,2022,4,Ysr District,1556901,93975668
Andhra Pradesh,2022,4,West Godavari District,1893310,129116752
Andhra Pradesh,2022,4,Chittoor District,2636036,189655966
Andhra Pradesh,2023,1,East Godavari District,2965296,98931582
Andhra Pradesh,2023,1,Srikakulam District,1263204,48743038
Andhra Pradesh,2023,1,Visakhapatnam District,3732544,107253885
Andhra Pradesh,2023,1,Prakasam District,1719910,112502189
Andhra Pradesh,2023,1,Anantapur District,2228505,177793392
Andhra Pradesh,2023,1,Kurnool District,2114023,149581663
Andhra Pradesh,2023,1,Guntur District,2900895,103514892
Andhra Pradesh,2023,1,Krishna District,2941585,98727644
Andhra Pradesh,2023,1,Spsr Nellore District,1740294,111993275
Andhra Pradesh,2023,1,Vizianagaram District,1094782,55519223
Andhra Pradesh,2023,1,Ysr District,1628595,109842928
Andhra Pradesh,2023,1,West Godavari District,1980446,102965151
Andhra Pradesh,2023,1,Chittoor District,2755784,164669558
Andhra Pradesh,2023,2,East Godavari District,3082893,101375784
Andhra Pradesh,2023,2,Srikakulam District,1317771,48040159
Andhra Pradesh,2023,2,Visakhapatnam District,3877504,115516314
Andhra Pradesh,2023,2,Prakasam District,1792637,104288559
Andhra Pradesh,2023,2,Anantapur District,2323796,164437247
Andhra Pradesh,2023,2,Kurnool District,2202517,142843895
Andhra Pradesh,2023,2,Guntur District,3014655,97915941
Andhra Pradesh,2023,2,Krishna District,3054956,99723659
Andhra Pradesh,2023,2,Spsr Nellore District,1811781,113350865
Andhra Pradesh,2023,2,Vizianagaram District,1141578,55405616
Andhra Pradesh,2023,2,Ysr District,1694843,98586928
Andhra Pradesh,2023,2,West Godavari District,2059880,116005083
Andhra Pradesh,2023,2,Chittoor District,2865250,170462384
Andhra Pradesh,2023,3,East Godavari District,3211557,83823834
Andhra Pradesh,2023,3,Srikakulam District,1375950,44064462
Andhra Pradesh,2023,3,Visakhapatnam District,4035323,116087299
Andhra Pradesh,2023,3,Prakasam District,1868997,94303883
Andhra Pradesh,2023,3,Anantapur District,2421293,152875757
Andhra Pradesh,2023,3,Kurnool District,2295754,124493256
Andhra Pradesh,2023,3,Guntur District,3137289,71855007
Andhra Pradesh,2023,3,Krishna District,3177643,73280755
Andhra Pradesh,2023,3,Spsr Nellore District,1887005,73583227
Andhra Pradesh,2023,3,Vizianagaram District,1190571,41978556
Andhra Pradesh,2023,3,Ysr District,1764648,78787151
Andhra Pradesh,2023,3,West Godavari District,2146530,73274852
Andhra Pradesh,2023,3,Chittoor District,2981337,129032458
Andhra Pradesh,2023,4,East Godavari District,3329036,143550882
Andhra Pradesh,2023,4,Srikakulam District,1430226,48122562
Andhra Pradesh,2023,4,Visakhapatnam District,4180797,163404880
Andhra Pradesh,2023,4,Prakasam District,1939979,69411660
Andhra Pradesh,2023,4,Anantapur District,2512744,123617506
Andhra Pradesh,2023,4,Kurnool District,2383042,86461750
Andhra Pradesh,2023,4,Guntur District,3251121,132403935
Andhra Pradesh,2023,4,Krishna District,3291814,121925706
Andhra Pradesh,2023,4,Spsr Nellore District,1956706,78993397
Andhra Pradesh,2023,4,Vizianagaram District,1236735,42889385
Andhra Pradesh,2023,4,Ysr District,1829864,69721701
Andhra Pradesh,2023,4,West Godavari District,2227243,86297777
Andhra Pradesh,2023,4,Chittoor District,3089391,143201818
Andhra Pradesh,2024,1,East Godavari District,3465605,70700482
Andhra Pradesh,2024,1,Srikakulam District,1492803,25384857
Andhra Pradesh,2024,1,Visakhapatnam District,4349723,183432261
Andhra Pradesh,2024,1,Prakasam District,2022873,57134465
Andhra Pradesh,2024,1,Anantapur District,2619335,121235223
Andhra Pradesh,2024,1,Kurnool District,2484451,115346032
Andhra Pradesh,2024,1,Guntur District,3382454,82606973
Andhra Pradesh,2024,1,Krishna District,3423998,59203320
Andhra Pradesh,2024,1,Spsr Nellore District,2037823,73245409
Andhra Pradesh,2024,1,Vizianagaram District,1289838,45744793
Andhra Pradesh,2024,1,Ysr District,1905157,75306755
Andhra Pradesh,2024,1,West Godavari District,2319971,59978637
Andhra Pradesh,2024,1,Chittoor District,3214678,110865896
Andhra Pradesh,2024,2,East Godavari District,3597667,70529565
Andhra Pradesh,2024,2,Srikakulam District,1551988,27503934
Andhra Pradesh,2024,2,Visakhapatnam District,4515738,221069497
Andhra Pradesh,2024,2,Prakasam District,2099814,61269760
Andhra Pradesh,2024,2,Anantapur District,2720387,120912449
Andhra Pradesh,2024,2,Kurnool District,2580812,93496809
Andhra Pradesh,2024,2,Guntur District,3508719,56640987
Andhra Pradesh,2024,2,Krishna District,3552494,52309743
Andhra Pradesh,2024,2,Spsr Nellore District,2114324,69447820
Andhra Pradesh,2024,2,Vizianagaram District,1340999,48299033
Andhra Pradesh,2024,2,Ysr District,1976516,59839679
Andhra Pradesh,2024,2,West Godavari District,2409237,45912661
Andhra Pradesh,2024,2,Chittoor District,3335024,134049145
Andhra Pradesh,2024,3,East Godavari District,1167720,59935362
Andhra Pradesh,2024,3,Srikakulam District,971036,17599044
Andhra Pradesh,2024,3,Visakhapatnam District,2487971,32301176
Andhra Pradesh,2024,3,Sri Potti Sriramulu Nellore District,1446214,86081128
Andhra Pradesh,2024,3,Kurnool District,1209238,116758872
Andhra Pradesh,2024,3,Guntur District,1695537,23423512
Andhra Pradesh,2024,3,Krishna District,800410,23684301
Andhra Pradesh,2024,3,Annamayya District,920716,87262138
Andhra Pradesh,2024,3,Ananthapuramu District,1320379,174845086
Andhra Pradesh,2024,3,Vizianagaram District,897899,32261276
Andhra Pradesh,2024,3,Tirupati District,1870882,40985457
Andhra Pradesh,2024,3,Alluri Sitharama Raju District,292488,178406258
Andhra Pradesh,2024,3,Nandyal District,900737,72969773
Andhra Pradesh,2024,3,Sri Sathyasai District,883584,98352753
Andhra Pradesh,2024,3,Palnadu District,963840,76909163
Andhra Pradesh,2024,3,Prakasam District,1166571,98216415
Andhra Pradesh,2024,3,Parvathipuram Manyam District,301205,30111342
Andhra Pradesh,2024,3,Dr Br Ambedkar Konaseema District,788204,48563272
Andhra Pradesh,2024,3,Bapatla District,703301,39373168
Andhra Pradesh,2024,3,Ntr District,1953695,47433380
Andhra Pradesh,2024,3,Kakinada District,1293864,26508076
Andhra Pradesh,2024,3,Anakapalli District,860834,29977574
Andhra Pradesh,2024,3,Ysr District,1209820,71588398
Andhra Pradesh,2024,3,West Godavari District,1017107,18906686
Andhra Pradesh,2024,3,Eluru District,1066558,69927623
Andhra Pradesh,2024,3,Chittoor District,955493,58045203
Andhra Pradesh,2024,4,East Godavari District,1202680,70992699
Andhra Pradesh,2024,4,Srikakulam District,1000848,50503455
Andhra Pradesh,2024,4,Visakhapatnam District,2566650,135700425
Andhra Pradesh,2024,4,Sri Potti Sriramulu Nellore District,1485904,95296811
Andhra Pradesh,2024,4,Kurnool District,1243710,69757232
Andhra Pradesh,2024,4,Guntur District,1749346,93254969
Andhra Pradesh,2024,4,Krishna District,821763,43757281
Andhra Pradesh,2024,4,Annamayya District,945246,67118152
Andhra Pradesh,2024,4,Ananthapuramu District,1358486,105608573
